index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
258,9,20,90,-3.0,1.0,5,0.8583960034846336
259,3,40,100,-2.0,0.1,4,0.9124259108988729
260,5,50,110,-2.0,0.1,2,0.8659427133018405
261,9,60,120,-2.0,0.5,4,0.7088553975139127
262,9,50,130,-3.0,1.0,3,0.9260331107043287
263,3,20,120,-3.0,1.0,2,0.9529074090435976
264,2,30,140,-3.0,0.1,5,0.8314513170217832
266,4,30,90,-2.0,0.5,4,0.7320318840779707
267,6,20,100,-2.0,1.0,2,0.9528684480823303
269,9,40,140,-3.0,1.0,3,0.8794516928112627
270,8,60,120,-2.0,0.1,3,0.8689785439301196
271,5,60,140,-3.0,1.0,4,0.8716002883859346
272,4,20,90,-3.0,0.5,3,0.8762090834315304
273,2,20,150,-3.0,0.1,5,0.7956600077819255
274,9,30,100,-3.0,0.1,5,0.8348726541319427
275,4,40,90,-3.0,0.1,4,0.9341662802709729
276,10,60,140,-2.0,0.1,3,0.7547670588209248
278,4,40,100,-2.0,0.5,5,0.7870572490310004
279,6,40,90,-2.0,0.1,5,0.8898018874818113
280,4,30,130,-3.0,0.1,4,0.9223817041997184
281,9,30,110,-3.0,0.5,3,0.9231321663269985
282,7,30,90,-2.0,0.1,3,0.8909015080714384
283,9,50,100,-3.0,1.0,3,0.9072347432507474
