,standard_deviation
Protein_PLOD2,0.4050249790870154
Protein_AIFM1.1,0.405000589676609
Protein_SEPHS1,0.40470959061864736
Protein_GPI,0.4042768445992998
Protein_SYT5,0.40415293937978347
Protein_LRP11.1,0.40410733229826673
Protein_SIRPB2,0.4039714413379937
Protein_CTSK,0.40368710170429556
Protein_AARS,0.40359946439769945
Protein_MYOM2,0.40353157462015576
Protein_SPINK2,0.40320890315323876
Protein_TMEM190,0.40305012428304965
Protein_LRRC4C,0.40290176432529456
Protein_EPHA4,0.4025119638538335
Protein_AKR1C1,0.40244443433744176
Protein_SOST,0.4024117637381208
Protein_CHI3L2,0.40240578296987956
Protein_DCUN1D5,0.4020317342169083
Protein_CPM.1,0.4016340024323666
Protein_PRTN3.1,0.40149950679260993
Protein_IL17RA,0.40123569494063627
Protein_IGFLR1,0.40085792622662697
Protein_FRZB.1,0.40045045347078384
Protein_LAYN,0.40037290689330635
Protein_SEMA7A,0.40037052460431677
Protein_PHGDH,0.40035291317330624
Protein_PTPRN2,0.4002186841117955
Protein_PRKCB,0.39945458921623306
Protein_GPR6,0.39927631210393394
Protein_CDH1.1,0.39889914043472346
Protein_NEGR1.1,0.3988704337137796
Protein_MDH2,0.39833341698571
Protein_RPS27A,0.3980226032926783
Protein_INHBA.2,0.39789626734088224
Protein_CCL2,0.3974668244531511
Protein_GGT2,0.3971799026159152
Protein_CNP,0.39658590807079
Protein_NPTN,0.3963013702338315
Protein_B4GALT6,0.39560657536389926
Protein_CDH11.1,0.3955483623798134
Protein_DPY30,0.3954362860722932
Protein_CCL28,0.39532436228404905
Protein_MMP8,0.39520927251930266
Protein_FOXJ2,0.39504090828172034
Protein_XXYLT1,0.3950028235463972
Protein_AMIGO2,0.3948148437962609
Protein_MRPL33,0.39480428518722815
Protein_CLEC11A,0.3945094629745656
Protein_GPC3,0.3944371838963665
Protein_PTHLH,0.394219478644554
Protein_PYY,0.3937723088943224
Protein_PCSK9,0.39348659099456973
Protein_RHOA,0.3933784685248862
Protein_CXCL8,0.393165177090546
Protein_DAG1,0.3930488326459796
Protein_TMEM106A,0.3930194933825424
Protein_IGFBPL1,0.39248965645308753
Protein_PNP,0.39204845970424623
Protein_SV2A,0.39101074636855127
Protein_CA4.1,0.39073484931846036
Protein_HAVCR2.1,0.38974207501511293
Protein_NMB,0.3897245407208656
Protein_IDUA,0.38971623249189447
Protein_BPIFA2,0.38957690526640576
Protein_NTRK2,0.3895235028205064
